url,lengthofdocument,iframes,noofkeywords,escape,unescape,link,exec,search,eval,decode,encode,concat,settimeout,parseint,fromcharcode,activexobject,indexof,substring,replace,addeventlistener,attachevent,createelement,getelememtbyid,documentwrite,blankspaces,longstrings,noofuniquechars,split,onbeforeunload,onload,onerror,onunload,onbeforeload,onmouseover,dispatchevent,fireevent,setattribute,windowlocation,charat,consolelog,function,mathrandom,charcodeat,tostring,noofdigits,noofbackslash,a,b,c,d,e,f,g,h,i,j,k,l,m,category,
0,http://www.tezu.ernet.in/Tu_files/jquery_003.js,148903,1,111,0,0,0,26,1,5,0,3,6,11,4,0,6,14,1,71,6,9,23,8,0,160,96,30,30,4,4,0,0,0,0,0,2,9,0,3,0,896,5,0,4,1935,5,1360,16,5620,4469,42,807,322,5482,5513,1592,1586,1351,1351,0
1,http://www.tezu.ernet.in/Tu_files/jquery_002.js,1486,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,21,3,4,0,45,24,0,2,4,43,43,19,19,2,2,0
2,http://www.tezu.ernet.in/Tu_files/tabs.js,243,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,6,0,0,0,0,4,4,1,1,0,0,0
3,http://www.tezu.ernet.in/themes/1/js-image-slider.js,13615,0,36,0,0,0,0,0,0,0,0,0,7,3,0,0,5,6,2,2,2,1,1,0,11,94,2,2,0,0,0,0,0,4,0,0,0,0,0,0,95,2,0,0,460,6,20,3,449,470,1,120,69,494,501,194,191,364,364,0
4,http://www.tezu.ernet.in/ms_js/td_stylechanger.js,1732,0,25,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,2,0,0,74,1,1,0,1,0,1,0,0,0,0,0,0,1,0,8,0,0,0,31,5,0,1,25,6,0,11,10,39,39,15,15,1,1,0
5,http://www.tezu.ernet.in/ms_js/td_colorchanger.js,2080,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,69,1,1,0,1,0,1,0,0,0,0,0,0,1,0,8,0,0,0,25,4,0,0,40,10,0,17,4,60,60,15,15,7,7,0
6,http://www.tezu.ernet.in/mainmenu2.js,27329,0,57,0,0,0,0,1,13,0,0,0,4,9,1,0,16,1,5,2,2,2,2,3,15,95,0,0,0,0,0,0,0,5,0,0,5,0,0,0,21,0,1,0,383,7,19,25,830,122,37,104,82,383,383,114,104,111,111,0
7,http://www.tezu.ernet.in/Tu_files/jquery.js,24374,0,56,0,0,0,0,0,0,0,0,0,4,16,0,0,2,0,1,0,0,0,0,0,29,91,1,1,0,0,0,0,0,0,0,0,0,0,0,2,117,1,0,1,384,5,66,0,1351,551,3,119,10,726,733,428,428,63,63,0
8,http://www.tezu.ernet.in/Tu_files/slideshow.js,2668,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,29,4,0,0,34,28,2,2,25,26,26,8,8,1,1,0
0,http://www.tezu.ernet.in/Tu_files/jquery_003.js,148903,1,111,0,0,0,26,1,5,0,3,6,11,4,0,6,14,1,71,6,9,23,8,0,160,96,30,30,4,4,0,0,0,0,0,2,9,0,3,0,896,5,0,4,1935,5,1360,16,5620,4469,42,807,322,5482,5513,1592,1586,1351,1351,0
1,http://www.tezu.ernet.in/Tu_files/jquery_002.js,1486,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,21,3,4,0,45,24,0,2,4,43,43,19,19,2,2,0
2,http://www.tezu.ernet.in/Tu_files/tabs.js,243,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,6,0,0,0,0,4,4,1,1,0,0,0
